departure_odate,day_of_week,total_usd
2016-10-01,5,
2016-10-02,6,
2016-10-03,0,
2016-10-04,1,
2016-10-05,2,
2016-10-06,3,
2016-10-07,4,
2016-10-08,5,
2016-10-09,6,281.24
2016-10-10,0,282.34
2016-10-11,1,265.34
2016-10-12,2,313.08
2016-10-13,3,282.34
2016-10-14,4,281.24
2016-10-15,5,281.24
2016-10-16,6,281.24
2016-10-17,0,282.34
2016-10-18,1,313.08
2016-10-19,2,313.08
2016-10-20,3,294.39
2016-10-21,4,284.39
2016-10-22,5,282.34
2016-10-23,6,280.74
2016-10-24,0,282.24
2016-10-25,1,295.24
2016-10-26,2,292.69
2016-10-27,3,294.24
2016-10-28,4,292.69
2016-10-29,5,279.64
2016-10-30,6,296.8
2016-10-31,0,319.52
2016-11-01,1,294.24
2016-11-02,2,306.24
2016-11-03,3,306.69
2016-11-04,4,282.34
2016-11-05,5,278.99
2016-11-06,6,306.69
2016-11-07,0,281.24
2016-11-08,1,265.34
2016-11-09,2,293.59
2016-11-10,3,282.34
2016-11-11,4,281.24
2016-11-12,5,265.34
2016-11-13,6,282.34
2016-11-14,0,290.0
2016-11-15,1,294.24
2016-11-16,2,293.24
2016-11-17,3,265.34
2016-11-18,4,282.34
2016-11-19,5,279.79
2016-11-20,6,282.34
2016-11-21,0,278.99
2016-11-22,1,294.0
2016-11-23,2,376.24
2016-11-24,3,289.09
2016-11-25,4,289.69
2016-11-26,5,298.24
2016-11-27,6,306.79
2016-11-28,0,265.34
2016-11-29,1,293.24
2016-11-30,2,313.08
2016-12-01,3,294.24
2016-12-02,4,284.39
2016-12-03,5,265.34
2016-12-04,6,284.39
2016-12-05,0,265.34
2016-12-06,1,294.0
2016-12-07,2,262.89
2016-12-08,3,303.93
2016-12-09,4,294.24
2016-12-10,5,284.39
2016-12-11,6,290.39
2016-12-12,0,313.08
2016-12-13,1,316.74
2016-12-14,2,313.08
2016-12-15,3,303.93
2016-12-16,4,291.74
2016-12-17,5,375.69
2016-12-18,6,302.8
2016-12-19,0,346.69
2016-12-20,1,361.93
2016-12-21,2,325.69
2016-12-22,3,397.93
2016-12-23,4,401.43
2016-12-24,5,355.69
2016-12-25,6,410.52
2016-12-26,0,420.52
2016-12-27,1,352.52
2016-12-28,2,324.24
2016-12-29,3,313.08
2016-12-30,4,289.69
2016-12-31,5,289.33
2017-01-01,6,290.39
2017-01-02,0,381.97
2017-01-03,1,318.24
2017-01-04,2,303.93
2017-01-05,3,291.74
2017-01-06,4,290.39
2017-01-07,5,289.69
2017-01-08,6,295.69
2017-01-09,0,290.93
2017-01-10,1,302.43
2017-01-11,2,302.43
2017-01-12,3,303.93
2017-01-13,4,290.39
2017-01-14,5,289.69
2017-01-15,6,290.39
2017-01-16,0,310.08
2017-01-17,1,311.58
2017-01-18,2,311.58
2017-01-19,3,311.58
2017-01-20,4,302.8
2017-01-21,5,289.33
2017-01-22,6,295.69
2017-01-23,0,313.08
2017-01-24,1,311.58
2017-01-25,2,313.08
2017-01-26,3,311.34
2017-01-27,4,312.69
2017-01-28,5,265.34
2017-01-29,6,292.69
2017-01-30,0,300.18
2017-01-31,1,303.93
2017-02-01,2,325.69
2017-02-02,3,290.0
2017-02-03,4,290.93
2017-02-04,5,265.34
2017-02-05,6,265.34
2017-02-06,0,290.18
2017-02-07,1,311.24
2017-02-08,2,303.93
2017-02-09,3,300.18
2017-02-10,4,290.93
2017-02-11,5,265.34
2017-02-12,6,301.3
2017-02-13,0,310.18
2017-02-14,1,300.18
2017-02-15,2,324.19
2017-02-16,3,290.28
2017-02-17,4,324.62
2017-02-18,5,303.93
2017-02-19,6,265.34
2017-02-20,0,294.0
2017-02-21,1,284.0
2017-02-22,2,346.69
2017-02-23,3,284.0
2017-02-24,4,296.8
2017-02-25,5,301.3
2017-02-26,6,324.24
2017-02-27,0,276.74
2017-02-28,1,300.0
2017-03-01,2,313.08
2017-03-02,3,294.0
2017-03-03,4,303.93
2017-03-04,5,265.34
2017-03-05,6,318.24
2017-03-06,0,284.0
2017-03-07,1,313.08
2017-03-08,2,313.08
2017-03-09,3,303.93
2017-03-10,4,331.93
2017-03-11,5,313.08
2017-03-12,6,307.93
2017-03-13,0,322.74
2017-03-14,1,318.24
2017-03-15,2,303.93
2017-03-16,3,311.34
2017-03-17,4,324.24
2017-03-18,5,302.8
2017-03-19,6,350.52
2017-03-20,0,313.08
2017-03-21,1,302.43
2017-03-22,2,313.08
2017-03-23,3,311.34
2017-03-24,4,325.69
2017-03-25,5,338.93
2017-03-26,6,354.62
2017-03-27,0,381.97
2017-03-28,1,416.24
2017-03-29,2,343.47
2017-03-30,3,343.47
2017-03-31,4,354.79
2017-04-01,5,313.08
2017-04-02,6,343.47
2017-04-03,0,367.69
2017-04-04,1,313.08
2017-04-05,2,363.47
2017-04-06,3,344.24
2017-04-07,4,313.08
2017-04-08,5,351.93
2017-04-09,6,363.47
2017-04-10,0,367.69
2017-04-11,1,366.19
2017-04-12,2,363.47
2017-04-13,3,343.47
2017-04-14,4,318.24
2017-04-15,5,313.08
2017-04-16,6,348.93
2017-04-17,0,355.93
2017-04-18,1,318.24
2017-04-19,2,318.24
2017-04-20,3,313.08
2017-04-21,4,324.24
2017-04-22,5,318.24
2017-04-23,6,351.93
2017-04-24,0,363.52
2017-04-25,1,343.47
2017-04-26,2,343.47
2017-04-27,3,318.24
2017-04-28,4,354.69
2017-04-29,5,363.52
2017-04-30,6,
2017-05-01,0,381.97
2017-05-02,1,348.93
2017-05-03,2,357.42
2017-05-04,3,354.62
2017-05-05,4,330.57
2017-05-06,5,324.24
2017-05-07,6,354.79
2017-05-08,0,
2017-05-09,1,367.52
2017-05-10,2,367.69
2017-05-11,3,354.62
2017-05-12,4,372.02
2017-05-13,5,350.57
2017-05-14,6,363.52
2017-05-15,0,338.93
2017-05-16,1,363.52
2017-05-17,2,343.47
2017-05-18,3,330.57
2017-05-19,4,338.93
2017-05-20,5,350.52
2017-05-21,6,338.93
2017-05-22,0,350.57
2017-05-23,1,361.97
2017-05-24,2,363.47
2017-05-25,3,338.93
2017-05-26,4,343.47
2017-05-27,5,363.02
2017-05-28,6,350.52
2017-05-29,0,357.59
2017-05-30,1,363.52
2017-05-31,2,366.19
2017-06-01,3,383.47
2017-06-02,4,
2017-06-03,5,383.47
2017-06-04,6,
2017-06-05,0,367.52
2017-06-06,1,381.97
2017-06-07,2,383.47
2017-06-08,3,383.47
2017-06-09,4,441.69
2017-06-10,5,353.09
2017-06-11,6,
2017-06-12,0,598.37
2017-06-13,1,364.69
2017-06-14,2,367.52
2017-06-15,3,436.19
2017-06-16,4,367.52
2017-06-17,5,367.52
2017-06-18,6,
2017-06-19,0,
2017-06-20,1,363.52
2017-06-21,2,366.02
2017-06-22,3,363.52
2017-06-23,4,436.19
2017-06-24,5,361.52
2017-06-25,6,367.52
2017-06-26,0,367.69
2017-06-27,1,366.19
2017-06-28,2,476.19
2017-06-29,3,
2017-06-30,4,
2017-07-01,5,464.69
2017-07-02,6,366.02
2017-07-03,0,364.69
2017-07-04,1,
2017-07-05,2,
2017-07-06,3,366.02
2017-07-07,4,367.52
2017-07-08,5,352.92
2017-07-09,6,367.52
2017-07-10,0,366.02
2017-07-11,1,366.02
2017-07-12,2,370.69
2017-07-13,3,348.93
2017-07-14,4,
2017-07-15,5,
2017-07-16,6,
2017-07-17,0,
2017-07-18,1,
2017-07-19,2,
2017-07-20,3,
2017-07-21,4,
2017-07-22,5,
2017-07-23,6,
2017-07-24,0,396.19
2017-07-25,1,
2017-07-26,2,790.42
2017-07-27,3,
2017-07-28,4,
2017-07-29,5,
2017-07-30,6,
2017-07-31,0,
2017-08-01,1,
2017-08-02,2,
2017-08-03,3,
2017-08-04,4,
2017-08-05,5,
2017-08-06,6,
2017-08-07,0,
2017-08-08,1,
2017-08-09,2,
2017-08-10,3,
2017-08-11,4,
2017-08-12,5,
2017-08-13,6,
2017-08-14,0,787.17
2017-08-15,1,
2017-08-16,2,
2017-08-17,3,
2017-08-18,4,
2017-08-19,5,
2017-08-20,6,
2017-08-21,0,796.09
2017-08-22,1,
2017-08-23,2,
2017-08-24,3,
2017-08-25,4,
2017-08-26,5,
2017-08-27,6,
2017-08-28,0,
2017-08-29,1,
2017-08-30,2,
2017-08-31,3,
2017-09-01,4,
2017-09-02,5,
2017-09-03,6,
2017-09-04,0,
2017-09-05,1,
2017-09-06,2,
2017-09-07,3,
2017-09-08,4,
2017-09-09,5,
2017-09-10,6,
2017-09-11,0,
2017-09-12,1,
2017-09-13,2,
2017-09-14,3,
2017-09-15,4,
2017-09-16,5,
2017-09-17,6,
2017-09-18,0,
2017-09-19,1,
2017-09-20,2,
2017-09-21,3,
2017-09-22,4,
2017-09-23,5,
2017-09-24,6,
2017-09-25,0,
2017-09-26,1,
2017-09-27,2,
2017-09-28,3,
2017-09-29,4,
2017-09-30,5,
